Rank,Name,Projected_36_Hole_Score,To_Par,Odds,Notes
1,Tommy Fleetwood,133,-11,+1500,Strong two-round accumulator; elite consistent scorer; best course-fit profile
2,Russell Henley,134,-10,+2000,Historically solid halfway leader; great SG Approach to maintain pace
3,Ludvig Aberg,135,-9,+1600,Builds momentum through first two rounds; strong ball-striking over 36 holes
4,Collin Morikawa,135,-9,+2000,Elite iron play sustains; expected to remain near the top through cut
5,Si Woo Kim,136,-8,+2200,Aggressive scorer; good course history; strong 36-hole form
6,Maverick McNealy,136,-8,+2500,Consistent across two rounds; above-average in all key stats at this course
7,Jordan Spieth,137,-7,+2000,Typically makes move in R2; course familiarity and local knowledge help
8,Ryo Hisatsune,137,-7,+3500,In-form; three top-10s in 2026; capable of staying in mix through R2
9,Sepp Straka,137,-7,+2500,Solid mid-tournament performer; reliable 36-hole scorer
10,Rickie Fowler,138,-6,+3000,Good course fit; expected to make cut comfortably and compete through R2
