Rank,Name,Projected_R1_Score,To_Par,Odds,Notes
1,Collin Morikawa,65,-7,+2000,Elite iron precision; typically fast starter; motivated first start back from injury
2,Tommy Fleetwood,66,-6,+1500,Consistent tee-to-green; strong opening round performer; course fits his strengths
3,Si Woo Kim,66,-6,+2200,Aggressive early-round scorer; strong SG Approach at TPC San Antonio
4,Russell Henley,67,-5,+2000,Reliable opener; steady iron play suits the course setup
5,Ludvig Aberg,67,-5,+1600,Clean ball-striker; typically settles in from round 1; consistent scorer
6,Maverick McNealy,67,-5,+2500,Accurate iron player; good course fit; steady round 1 performer
7,Ryo Hisatsune,68,-4,+3500,Three top-10s in 2026; fearless early-round scorer; in-form
8,Rickie Fowler,68,-4,+3000,Good course fit; capable of hot starts; experienced at TPC San Antonio
9,Sepp Straka,68,-4,+2500,Solid opener; reliable iron play; consistent in-round management
10,Jordan Spieth,68,-4,+2000,Texas native; strong course history; capable of hot R1 scoring rounds
